nama,sektor,website,kontak,facebook,instagram,twitter,linkedin,youtube
Astra Agro Lestari Tbk,Barang Konsumen Primer,http://www.astra-agro.co.id,461-65-55,https://www.facebook.com/astragro/,https://www.instagram.com/astraagrolestari/,-,https://www.linkedin.com/company/pt-astra-agro-lestari-tbk/,https://www.youtube.com/@PTAstraAgroLestari
Mahaka Media Tbk,Barang Konsumen Non-Primer,www.mahakax.com,(021) 573 9203,https://facebook.com,https://www.instagram.com,https://www.mahakax.com/,https://www.linkedin.com,-
Asuransi Bina Dana Arta Tbk,Keuangan,www.myoona.id,5140 1688,https://www.facebook.com/oonainsuranceind,https://www.instagram.com/oonainsurance_id/,-,https://www.linkedin.com/company/oonainsuranceid/,https://www.youtube.com/@OONAInsuranceID
ABM Investama Tbk,Energi,www.abm-investama.com,021-29976767,-,-,-,https://www.linkedin.com/company/pt-abm-investama-tbk,-
PT Aspirasi Hidup Indonesia Tbk,Barang Konsumen Non-Primer,https://ahi.id/,021 - 5828282,-,-,-,-,-
PT Samcro Hyosung Adilestari Tbk.,Barang Konsumen Non-Primer,https//www.samcro.co.id,021-5960543,-,-,-,-,-
PT Acset Indonusa Tbk.,Infrastruktur,www.acset.co,(021) 3511961,https://www.facebook.com/AcsetIndonusaTbk/,-,https://twitter.com/ACSET_INDONUSA,https://www.linkedin.com/company/3611287?trk=tyah,-
PT Adhi Commuter Properti Tbk,Properti & Real Estat,www.adcp.co.id,(021) 228 229 80,-,-,-,-,-
Akasha Wira International Tbk  Tbk,Barang Konsumen Primer,www.akashainternational.com,081119345000,-,-,-,-,-
PT Adhi Karya (Persero) Tbk.,Infrastruktur,www.adhi.co.id,021-7975312,https://www.facebook.com/adhikaryaID/,https://www.instagram.com/adhikaryaid/?hl=id,https://twitter.com/adhikaryaid,https://www.linkedin.com/company/pt-adhi-karya-persero-tbk./,https://www.youtube.com/channel/UClxNBoAAGbaeFCd5eHqclVg
Adira Dinamika Multi Finance Tbk,Keuangan,www.adira.co.id,"021-3973 3232, 021-3973 3322",https://www.facebook.com/adirafinanceid/,https://www.instagram.com/adirafinanceid/?hl=en,https://twitter.com/AdiraFinanceID,https://www.linkedin.com/company/adira/,https://www.youtube.com/channel/UCu0ZMhNTndtyDEB63-LqwSg
Polychem Indonesia Tbk,Barang Baku,www.polychemindo.com,(62-21) 5744848,-,-,-,-,-
PT Alamtri Minerals Indonesia Tbk,Energi,www.adarominerals.id,(021) 2553 3060,-,-,-,-,-
Alamtri Resources Indonesia Tbk,Energi,www.alamtri.com,021-25533000,-,-,-,-,-
PT Anugerah Spareparts Sejahtera Tbk.,Barang Konsumen Non-Primer,https://www.aegisfilter.co.id/,+62231831035,https://www.facebook.com/sitepad,-,-,https://www.linkedin.com/company/aegisfilter-idn,-
PT Asia Sejahtera Mina Tbk,Barang Konsumen Primer,www.asiamina.com,(021) 21192523,-,-,-,-,-
PT Samator Indo Gas Tbk,Barang Baku,www.anekagas.com,021 - 83709111,-,https://www.instagram.com/samator_group/?hl=en,-,https://www.linkedin.com/company/pt-aneka-gas-industri-tbk/,https://www.youtube.com/channel/UCDD0nBqXLbJunzyUNETNLpQ
